Pos;Standort;Bezeichnung;Alte Inv.-Nr.;Anlagengruppe;Fortführungswert EUR;Bemerkung Gutachten;Kategorie Vorschlag
4;Halle Fertigung;"2 Metall-Schubladenschränke, Fabr. Lista, 4 Auszüge, Inhalt: Werkzeuge, u.a. Wechselschneidplatten, Fräser, Spannhülsen";;MTA (15);1000;"ggf. FE Luna Vermögensverwaltungsgesellschaft mbH, keine gesicherte Zuordnung möglich";furniture
6;Halle Fertigung;"1 Auffangwanne, ca. 2.000 x 800 mm, m. Gitterrostauflage";;MTA (15);80;;machine
7;Halle Fertigung;"1 mobiles Fasstransportgestell";;MTA (15);20;;machine
8;Halle Fertigung;"4 mobile Werkbänke, aus Aluprofilen, 2 Ebenen, 3 x m. Schubladenunterbau, Fabr. Garant";;MTA (15);400;;furniture
9;Halle Fertigung;"1 Hartgestein-Messtisch, 1.600 x 1.000 x 150 mm, Gewicht 768 kg, Untergestell, Hartgesteinplatte, m. Schraubhülsen versehen";;MTA (15);400;;machine
10;Halle Fertigung;"1 Druckluftkessel, Fabr. OKS, Bj 2016, SN 8833, Fassungsvermögen 250 l, stehend";;MTA (15);200;;machine
11;Halle Fertigung;"1 Elektrokabel-Aufroller, Fabr. Elektron";;MTA (15);30;;machine
12;Halle Fertigung;"1 Blechschrank, Fabr. CP, 2-türig, 1.500 x 600 mm";;BGA (16);30;;furniture
13;Halle Fertigung;"1 tragbare Umreifungsbandhaspel, 2 manuelle Spann-/Verschlusszangen";;BGA (16);80;;machine
14;Halle Fertigung;"2 Montageregale, L 1.000 mm, Schraub-/Stecksystem, 1 x m. Schrägböden, 4/5 Ebenen";;BGA (16);50;;furniture
15;Halle Fertigung;"2 mobile Spänekippmulden, Fabr. Bauer, Typ SKK800, Bj 2014/2016, Fassungsvermögen 800 l, Tragfähigkeit 300 kg";;BGA (16);400;;machine
16;Halle Fertigung;"3 mobile Spänekippmulden, Fassungsvermögen 800 l";;BGA (16);600;;machine
17;Halle Fertigung;"1 Deichselhubwagen, Fabr. Ameise, Tragfähigkeit 2.000 kg";;BGA (16);80;;machine
18;Halle Fertigung;"2 Etagenwagen, Fabr. Fetra, 2 Ebenen";;BGA (16);80;;machine
19;Halle Fertigung;"1 Akku-Bohrschrauber, Fabr. Bosch, Typ GSR 18V-28, Ladegerät, Ersatzakku, 2 Kabeltrommeln, 1 x Kunststoff, 2 LED-Strahler";;BGA (16);40;;machine
20;Halle Fertigung;"1 Tischbohrmaschine, Fabr. HG, Typ 8, kleiner Schraubstock";;BGA (16);80;;machine
21;Halle Fertigung;"1 Metallwerkbank, L 2.000 mm, m. Zwischenboden, Holz, Schublade, Gitterrückwand, 1 Posten Handwerkzeuge, geringer Umfang";;BGA (16);80;;furniture
22;Halle Fertigung;"1 Druckluftkessel, Fabr. OKS, Bj 2015, SN 8556, Fassungsvermögen 250 l";;BGA (16);200;;machine
23;Halle Fertigung;"1 mobiler Industriesauger, Fabr. Ruwac, Typ SPS250-W24, 3,21 kW, SN SPS250/20171045";;BGA (16);700;;machine
25;Halle Fertigung;"1 Werkzeugschrumpfgerät, Fabr. Kelch, Typ i-tec L, Bj 2013";40006;MTA (15);950;;machine
26;Halle Fertigung;"1 Werkzeug-Voreinstellgerät, Fabr. Promat, Typ Kenova Set Line V224, Bj 2013";22012;MTA (15);700;;machine
27;Halle Fertigung;"1 Werkbank, Fabr. Garant, 2 Unterschränke, 6 Auszüge bzw. 4 Auszüge/Tür, Auflageplatte m. Metallabdeckung, Schraubstock, Steilkegel-Einspannvorrichtung, Fabr. Knuth, Schubladeninhalt: Handwerkzeuge, Spannmittel, geringer Umfang";;BGA (16);400;;furniture
28;Halle Fertigung;"1 tragbares Batterieladegerät, Fabr. Ultimate Speed, Typ ULG12B3";;BGA (16);50;;machine
29;Halle Fertigung;"2 Blechschränke, 2.000 x 1.000 mm, 2-türig, Inhalt: Maschinenwerkzeuge, Fräser, in Lagersichtkästen, geringer Umfang, 1 Posten Werkzeugaufnahmen, SK40, ca. 50 Stck., 1 Posten Bohrer u. Fräser";;BGA (16);340;"ggf. FE Luna Vermögensverwaltungsgesellschaft mbH, keine gesicherte Zuordnung möglich";furniture
30;Halle Fertigung;"1 Flaschenzug, Fabr. Chain Block, Typ HS, Tragfähigkeit 1 t, 1 Posten Luft- und Wasserschläuche, Überbrückungskabel, 1 Posten Rundschlingen u. Spanngurte, lagernd in Blechkiste";;BGA (16);80;;machine
31;Halle Fertigung;"1 tragbarer Hochdruckreiniger, Fabr. Kränzle, Typ Power Jet, 115 bar, m. Sprühlanze";;BGA (16);140;;machine
32;Halle Fertigung;"1 Pneumatik-Fasspumpe";;BGA (16);30;;machine
34;Halle Fertigung;"1 Alu-Anstellleiter, Fabr. Krause, 12-stufig";;BGA (16);30;;machine
35;Lager;"1 Pneumatik-Kniehebelpresse, Fabr. Gechter, Typ 8KN HKPL, Bj 2015";;MTA (15);680;;machine
36;Lager;"1 Druckluft-Kartuschenpresse, 2 Aufnahmen";;BGA (16);80;;machine
37;Lager;"2 Hochdruckspannstöcke, Fabr. Garant, Typ 36 0510 12";;BGA (16);1400;;machine
38;Lager;"6 Leichtbauregale, verzinkt/blau, L 1.000 mm, 5 Ebenen, Blechschrank, 2-türig, Tresor, antik, 2-türig";;BGA (16);100;;furniture
39;Lager;"1 Posten Altbauteile, u.a. Pneumatik, 1 Posten Schaltschränke, Elektro-/Datenkabel";;BGA (16);500;;machine
41;Werkstattbüro;"1 PC, Fabr. Lenovo, Typ Thinkstation D20, Xeon, PC, Fabr. HP, Typ Z620 Workstation, Xeon, PC, Noname, außer Betrieb, 4 27""-Monitore, Fabr. BenQ/Asus, 2 Tastaturen, 2 PC-Lautsprecher";;BGA (16);200;;it
42;Werkstattbüro;"1 Laserdrucker, Fabr. HP, Typ LaserJet CP1525N Color";;BGA (16);20;;it
47;Halle Montage;"1 Etagenwagen, Fabr. Fetra, 2 Ebenen";;BGA (16);30;;machine
52;Halle Montage;"1 Bohrhammer, Fabr. Hilti, Typ EE17, Zubehör, im Koffer";;BGA (16);140;;machine
53;Halle Montage;"1 Metall-Schubladenschrank, Fabr. Hahn & Kolb, L 2.000 mm, 8 Auszüge";;BGA (16);80;"Bewertung ohne Inhalt, da Umlaufvermögen";furniture
54;Halle Montage;"1 Blechschrank, 2-türig, 1.600 x 600 mm, Inhalt: Lagersichtkästen, Schaltschrank, Fabr. Siemens, umgebaut zum Lagerschrank, Inhalt: div. Kunststoff-Sortimentskästen, u.a. Böllhoff, ohne Inhalt oder unvollständig, div. Werkzeuge";;BGA (16);50;"Bewertung ohne Verbrauchsmaterial, da Umlaufvermögen";furniture
55;Halle Montage;"1 Werkstattwagen, Inhalt: Handwerkzeuge, geringer Umfang";;BGA (16);120;;furniture
60;Halle Montage;"1 Magnetbohrmaschine, Fabr. Duss, Typ D32 II, Magnetständer WS";;MTA (15);150;;machine
61;Halle Montage;"1 Metallschubladenschrank, Fabr. Kardex, Inhalt: Maschinenwerkzeuge, geringer Umfang, Blechkiste, Inhalt: Gewindeschneideisen";;BGA (16);100;;furniture
62;Halle Montage;"1 Schaltschrank, Fabr. Siemens, umgebaut zum Lagerschrank, Inhalt: 1 Posten Werkzeugaufnahmen, SK40, ca. 25 Stck., 1 Posten Werkzeuge, Fräser, Reibahle, Entmagnetisierplatte, Metallschrank, Fabr. Lampertz, Inhalt: Teilapparat, Spannmittel, Maschinenzubehör";;BGA (16);300;;furniture
66;Halle Montage;"1 Entgratmaschine, Fabr. Günter Holl, Typ KS200, Bj 1968";;MTA (15);50;;machine
67;Halle Montage;"1 Flachstahl-Handbiegevorrichtung";;BGA (16);50;;machine
68;Halle Montage;"1 Bodenkehrmaschine, Fabr. Kärcher, Typ S650";;BGA (16);40;;machine
